long,lat,name,description,fid,ID,ID_SHAPE,ID_PART,ID_POINT,CLOCKWISE,LAKE,layer,path
-0.530989,52.855929,,,1,0/0/0,0,0,0,Y,N,real-centre,/home/will/Documents/field_sites/knepp-etal/Shapefiles/real-centre.shp|layername=real-centre
-0.530061,52.85662,,,2,0/0/1,0,0,1,Y,N,real-centre,/home/will/Documents/field_sites/knepp-etal/Shapefiles/real-centre.shp|layername=real-centre
-0.529645,52.855666,C222,,3,0/0/2,0,0,2,Y,N,real-centre,/home/will/Documents/field_sites/knepp-etal/Shapefiles/real-centre.shp|layername=real-centre
-0.530989,52.855929,,,4,0/0/3,0,0,3,Y,N,real-centre,/home/will/Documents/field_sites/knepp-etal/Shapefiles/real-centre.shp|layername=real-centre
-0.533822,52.856244,,,5,1/0/0,1,0,0,Y,N,real-centre,/home/will/Documents/field_sites/knepp-etal/Shapefiles/real-centre.shp|layername=real-centre
-0.532894,52.856935,,,6,1/0/1,1,0,1,Y,N,real-centre,/home/will/Documents/field_sites/knepp-etal/Shapefiles/real-centre.shp|layername=real-centre
-0.5324,52.856087,,,7,1/0/2,1,0,2,Y,N,real-centre,/home/will/Documents/field_sites/knepp-etal/Shapefiles/real-centre.shp|layername=real-centre
-0.533822,52.856244,,,8,1/0/3,1,0,3,Y,N,real-centre,/home/will/Documents/field_sites/knepp-etal/Shapefiles/real-centre.shp|layername=real-centre
-0.531981,52.85763,,,9,2/0/0,2,0,0,Y,N,real-centre,/home/will/Documents/field_sites/knepp-etal/Shapefiles/real-centre.shp|layername=real-centre
-0.531053,52.858322,,,10,2/0/1,2,0,1,Y,N,real-centre,/home/will/Documents/field_sites/knepp-etal/Shapefiles/real-centre.shp|layername=real-centre
-0.530559,52.857474,,,11,2/0/2,2,0,2,Y,N,real-centre,/home/will/Documents/field_sites/knepp-etal/Shapefiles/real-centre.shp|layername=real-centre
-0.531981,52.85763,,,12,2/0/3,2,0,3,Y,N,real-centre,/home/will/Documents/field_sites/knepp-etal/Shapefiles/real-centre.shp|layername=real-centre
-0.539516,52.856871,,,13,3/0/0,3,0,0,Y,N,real-centre,/home/will/Documents/field_sites/knepp-etal/Shapefiles/real-centre.shp|layername=real-centre
-0.538588,52.857562,C321,,14,3/0/1,3,0,1,Y,N,real-centre,/home/will/Documents/field_sites/knepp-etal/Shapefiles/real-centre.shp|layername=real-centre
-0.538094,52.856714,C322,,15,3/0/2,3,0,2,Y,N,real-centre,/home/will/Documents/field_sites/knepp-etal/Shapefiles/real-centre.shp|layername=real-centre
-0.539516,52.856871,C323,,16,3/0/3,3,0,3,Y,N,real-centre,/home/will/Documents/field_sites/knepp-etal/Shapefiles/real-centre.shp|layername=real-centre
-0.542344,52.857182,,,17,4/0/0,4,0,0,Y,N,real-centre,/home/will/Documents/field_sites/knepp-etal/Shapefiles/real-centre.shp|layername=real-centre
-0.541415,52.857874,C331,,18,4/0/1,4,0,1,Y,N,real-centre,/home/will/Documents/field_sites/knepp-etal/Shapefiles/real-centre.shp|layername=real-centre
