Date,Recorder,Site,Block,Plot,Quadrant,Species (Nell),Species,Cover,Notes,what3words,survey
2022-07-11,Nell Pates,Boothby,NW,322,1,beans,Vicia faba,100,,lake.outgrown.excuse,A
2022-07-11,Nell Pates,Boothby,NW,322,1,bare soil,bare soil,80,,lake.outgrown.excuse,A
2022-07-11,Nell Pates,Boothby,NW,322,1,stones,stones,5,,lake.outgrown.excuse,A
2022-07-11,Nell Pates,Boothby,NW,322,1,dead leaves,dead leaves,40,,lake.outgrown.excuse,A
2022-07-11,Nell Pates,Boothby,NW,322,2,beans,Vicia faba,100,,lake.outgrown.excuse,A
2022-07-11,Nell Pates,Boothby,NW,322,2,bare soil,bare soil,90,,lake.outgrown.excuse,A
2022-07-11,Nell Pates,Boothby,NW,322,2,dead leaves,dead leaves,35,,lake.outgrown.excuse,A
2022-07-11,Nell Pates,Boothby,NW,322,3,beans,Vicia faba,85,,lake.outgrown.excuse,A
2022-07-11,Nell Pates,Boothby,NW,322,3,bare soil,bare soil,95,,lake.outgrown.excuse,A
2022-07-11,Nell Pates,Boothby,NW,322,3,stones,stones,2,,lake.outgrown.excuse,A
2022-07-11,Nell Pates,Boothby,NW,322,3,dead leaves,dead leaves,50,,lake.outgrown.excuse,A
2022-07-11,Nell Pates,Boothby,NW,322,4,beans,Vicia faba,95,,lake.outgrown.excuse,A
2022-07-11,Nell Pates,Boothby,NW,322,4,bare soil,bare soil,90,,lake.outgrown.excuse,A
2022-07-11,Nell Pates,Boothby,NW,322,4,dead leaves,dead leaves,35,,lake.outgrown.excuse,A
2022-07-11,Nell Pates,Boothby,NW,311,1,grass crop,Triticum aestivum,100,,forkfull.firework.craziest,A
2022-07-11,Nell Pates,Boothby,NW,311,1,bare soil,bare soil,50,,forkfull.firework.craziest,A
2022-07-11,Nell Pates,Boothby,NW,311,2,grass crop,Triticum aestivum,100,,forkfull.firework.craziest,A
2022-07-11,Nell Pates,Boothby,NW,311,2,bare soil,bare soil,50,,forkfull.firework.craziest,A
2022-07-11,Nell Pates,Boothby,NW,311,3,grass crop,Triticum aestivum,95,,forkfull.firework.craziest,A
2022-07-11,Nell Pates,Boothby,NW,311,3,bare soil,bare soil,70,,forkfull.firework.craziest,A
2022-07-11,Nell Pates,Boothby,NW,311,4,grass crop,Triticum aestivum,100,,forkfull.firework.craziest,A
2022-07-11,Nell Pates,Boothby,NW,311,4,bare soil,bare soil,50,,forkfull.firework.craziest,A
2022-07-11,Nell Pates,Boothby,NW,333,1,grass crop,Triticum aestivum,100,,became.jetted.roadshow,A
2022-07-11,Nell Pates,Boothby,NW,333,1,bare soil,bare soil,75,,became.jetted.roadshow,A
2022-07-11,Nell Pates,Boothby,NW,333,1,shoot 1,Geranium molle,0.1,,became.jetted.roadshow,A
2022-07-11,Nell Pates,Boothby,NW,333,1,shoot 2,Chenopodium ficifolium,0.1,,became.jetted.roadshow,A
2022-07-11,Nell Pates,Boothby,NW,333,1,stones,stones,5,,became.jetted.roadshow,A
2022-07-11,Nell Pates,Boothby,NW,333,2,grass crop,Triticum aestivum,90,,became.jetted.roadshow,A
2022-07-11,Nell Pates,Boothby,NW,333,2,bare soil,bare soil,80,,became.jetted.roadshow,A
2022-07-11,Nell Pates,Boothby,NW,333,2,stones,stones,10,,became.jetted.roadshow,A
2022-07-11,Nell Pates,Boothby,NW,333,3,grass crop,Triticum aestivum,100,,became.jetted.roadshow,A
2022-07-11,Nell Pates,Boothby,NW,333,3,bare soil,bare soil,75,,became.jetted.roadshow,A
2022-07-11,Nell Pates,Boothby,NW,333,3,stones,stones,5,,became.jetted.roadshow,A
2022-07-11,Nell Pates,Boothby,NW,333,3,shoot 3,Galium aparine,0.1,,became.jetted.roadshow,A
2022-07-11,Nell Pates,Boothby,NW,333,4,grass crop,Triticum aestivum,100,,became.jetted.roadshow,A
2022-07-11,Nell Pates,Boothby,NW,333,4,bare soil,bare soil,70,,became.jetted.roadshow,A
2022-07-11,Nell Pates,Boothby,NW,333,4,stones,stones,10,,became.jetted.roadshow,A
2022-07-11,Nell Pates,Boothby,NW,133,1,Grass 1 - Arrhen,Arrhenatherum elatius,10,,festivity.conveying.proofread,A
2022-07-11,Nell Pates,Boothby,NW,133,1,Grass 2 - Timothy,Phleum pratense,5,,festivity.conveying.proofread,A
2022-07-11,Nell Pates,Boothby,NW,133,1,Grass 3 - cocksfoot,Dactylis glomerata,1,,festivity.conveying.proofread,A
2022-07-11,Nell Pates,Boothby,NW,133,1,Umbellifer,Daucus carota,5,,festivity.conveying.proofread,A
2022-07-11,Nell Pates,Boothby,NW,133,1,C. nigra,Centaurea nigra,4,,festivity.conveying.proofread,A
