Date,Recorder,Site,Block,Group,Plot,Quadrant,Species (Nell),Species,Cover,Notes,what3words,
2022-06-28,Nell Pates,Knepp,S,X,222,1,Fleabane,Pulicaria dysenterica,40,,apparatus.appraised.commoners,
2022-06-28,Nell Pates,Knepp,S,X,222,1,Ragwort,Senecio jacobaea,7,,apparatus.appraised.commoners,
2022-06-28,Nell Pates,Knepp,S,X,222,1,White clover,Trifolium repens,20,,apparatus.appraised.commoners,
2022-06-28,Nell Pates,Knepp,S,X,222,1,Holcus lanatus,Holcus lanatus,55,,apparatus.appraised.commoners,
2022-06-28,Nell Pates,Knepp,S,X,222,1,Very fluffy leaf,Cirsium dissectum,1,,apparatus.appraised.commoners,
2022-06-28,Nell Pates,Knepp,S,X,222,1,Tiny purple,Geranium pusillum,1,,apparatus.appraised.commoners,
2022-06-28,Nell Pates,Knepp,S,X,222,1,sticks,sticks,4,,apparatus.appraised.commoners,
2022-06-28,Nell Pates,Knepp,S,X,222,1,Dandelion / tragopogon ,Hypochaeris radicata,1,,apparatus.appraised.commoners,
2022-06-28,Nell Pates,Knepp,S,X,222,2,Fleabane,Pulicaria dysenterica,70,,apparatus.appraised.commoners,
2022-06-28,Nell Pates,Knepp,S,X,222,2,Ragwort,Senecio jacobaea,20,,apparatus.appraised.commoners,
2022-06-28,Nell Pates,Knepp,S,X,222,2,White clover,Trifolium repens,10,,apparatus.appraised.commoners,
2022-06-28,Nell Pates,Knepp,S,X,222,2,Holcus lanatus,Holcus lanatus,25,,apparatus.appraised.commoners,
2022-06-28,Nell Pates,Knepp,S,X,222,2,Very fluffy leaf,Cirsium dissectum,1,,apparatus.appraised.commoners,
2022-06-28,Nell Pates,Knepp,S,X,222,2,sticks,sticks,1,,apparatus.appraised.commoners,
2022-06-28,Nell Pates,Knepp,S,X,222,2,Bramble,Rubus fruticosus,3,,apparatus.appraised.commoners,
2022-06-28,Nell Pates,Knepp,S,X,222,2,Tiny branching = lesser stitchwort?,Stellaria graminea,1,,apparatus.appraised.commoners,
2022-06-28,Nell Pates,Knepp,S,X,222,2,Little red leaves,Geranium dissectum,1,,apparatus.appraised.commoners,
2022-06-28,Nell Pates,Knepp,S,X,222,2,Woody stem sapling / shrub,sapling,1,sapling,apparatus.appraised.commoners,
2022-06-28,Nell Pates,Knepp,S,X,222,2,moss,moss,2,,apparatus.appraised.commoners,
2022-06-28,Nell Pates,Knepp,S,X,222,2,"Long stem, rounded leaves",Senecio jacobaea,2,,apparatus.appraised.commoners,
2022-06-28,Nell Pates,Knepp,S,X,222,2,Purple / blue / white,Myosotis arvensis,1,,apparatus.appraised.commoners,
2022-06-28,Nell Pates,Knepp,S,X,222,3,Fleabane,Pulicaria dysenterica,3,,apparatus.appraised.commoners,
2022-06-28,Nell Pates,Knepp,S,X,222,3,White clover,Trifolium repens,20,,apparatus.appraised.commoners,
2022-06-28,Nell Pates,Knepp,S,X,222,3,Holcus lanatus,Holcus lanatus,95,,apparatus.appraised.commoners,
2022-06-28,Nell Pates,Knepp,S,X,222,3,sticks,sticks,5,,apparatus.appraised.commoners,
2022-06-28,Nell Pates,Knepp,S,X,222,3,Tiny branching = lesser stitchwort?,Stellaria graminea,1,,apparatus.appraised.commoners,
2022-06-28,Nell Pates,Knepp,S,X,222,3,Tiny purple vetch,Vicia sativa,1,,apparatus.appraised.commoners,
2022-06-28,Nell Pates,Knepp,S,X,222,3,Woody stem sapling / shrub,sapling,1,sapling,apparatus.appraised.commoners,
2022-06-28,Nell Pates,Knepp,S,X,222,3,animal droppings,animal droppings,3,,apparatus.appraised.commoners,
2022-06-28,Nell Pates,Knepp,S,X,222,3,Dandelion,Taraxacum officinale agg,1,,apparatus.appraised.commoners,
2022-06-28,Nell Pates,Knepp,S,X,222,4,Fleabane,Pulicaria dysenterica,8,,apparatus.appraised.commoners,
